SKU,Product,Title,Price,Scripture_Reference,Scripture_Text,Tags,Design_Direction,AI_Scripture_Color_Pop_Prompt,Reference_Design_v1_URL,Notes
JT001,Tee,Freedom Still Rings,29.99,Galatians 5:1,"Stand fast in the liberty wherewith Christ hath made us free.","Juneteenth, Freedom, Faith, Scripture",Scripture-based Color Pop,"Premium Color Pop Juneteenth t-shirt. Bold typography 'FREEDOM STILL RINGS' with the verse 'Stand fast in the liberty wherewith Christ hath made us free' - Galatians 5:1. Reds, golds, greens, black, paint splashes, radiant light, modern vector, high contrast, print-ready 4500x5400, transparent background, no mockup, no watermark.",https://d8j0ntlcm91z4.cloudfront.net/user_3E1AMf8iNHnvHb2OopsVVchSZzc/hf_20260626_011851_88d723eb-93fc-48cc-9928-e9b155c597e8.png,Redo as scripture-based
JT002,Hoodie,Walking in Freedom,49.99,2 Corinthians 3:17,"Where the Spirit of the Lord is, there is liberty.","Juneteenth Hoodie, Freedom, Scripture",Scripture-based Color Pop,"Premium Color Pop Juneteenth hoodie. Pop-art lettering 'WALKING IN FREEDOM' with verse 'Where the Spirit of the Lord is, there is liberty' - 2 Corinthians 3:17. African-inspired geometric accents, reds golds greens black, paint splashes, print-ready 4500x5400, transparent background, no mockup, no watermark.",https://d8j0ntlcm91z4.cloudfront.net/user_3E1AMf8iNHnvHb2OopsVVchSZzc/hf_20260626_020740_94b87aa3-5ec6-409b-96af-4c5644ba50f9.png,Redo as scripture-based
JT003,Kids Tee,Little Voices of Freedom,24.99,Psalm 8:2,"Out of the mouth of babes...thou hast ordained strength.","Kids Juneteenth, Scripture",Scripture-based Color Pop,"Premium Color Pop Juneteenth kids t-shirt. Cute lettering 'LITTLE VOICES OF FREEDOM' with verse 'Out of the mouth of babes thou hast ordained strength' - Psalm 8:2. Smiling children silhouettes, joyful, reds golds greens black, print-ready, transparent background, no mockup, no watermark.",https://d8j0ntlcm91z4.cloudfront.net/user_3E1AMf8iNHnvHb2OopsVVchSZzc/hf_20260626_020742_83d891d7-1285-4f00-a1e5-9b492f240103.png,Redo as scripture-based
JT004,Kids Jumper,Brave Little Dreamer,34.99,Joshua 1:9,"Be strong and of a good courage.","Toddler Juneteenth, Scripture",Scripture-based Color Pop,"Premium Color Pop Juneteenth toddler jumper. Playful 'BRAVE LITTLE DREAMER' with verse 'Be strong and of a good courage' - Joshua 1:9. Cartoon watercolor, stars, balloons, reds golds greens black, print-ready, transparent background, no mockup, no watermark.",https://d8j0ntlcm91z4.cloudfront.net/user_3E1AMf8iNHnvHb2OopsVVchSZzc/hf_20260626_020744_8ad48bc0-5443-4cf7-b202-cde10358e21c.png,Redo as scripture-based
JT005,Mug,Morning of Freedom,17.99,Lamentations 3:22-23,"His mercies...are new every morning.","Juneteenth Mug, Scripture",Scripture-based Color Pop,"Premium Color Pop Juneteenth mug wrap. 'MORNING OF FREEDOM' with verse 'His mercies are new every morning' - Lamentations 3:22-23. Bright sunrise, reds golds greens black, print-ready wraparound, transparent background, no mockup, no watermark.",https://d8j0ntlcm91z4.cloudfront.net/user_3E1AMf8iNHnvHb2OopsVVchSZzc/hf_20260626_020746_e4d51d01-9c31-42af-9597-4011414340a2.png,Redo as scripture-based
JT006,Tee,Faith & Freedom,29.99,John 8:36,"If the Son therefore shall make you free, ye shall be free indeed.","Christian Juneteenth, Scripture",Scripture-based Color Pop,"Premium Color Pop Juneteenth t-shirt. Elegant 'FAITH & FREEDOM' with verse 'If the Son shall make you free, ye shall be free indeed' - John 8:36. Colorful rays, reds golds greens black, print-ready 4500x5400, transparent background, no mockup, no watermark.",https://d8j0ntlcm91z4.cloudfront.net/user_3E1AMf8iNHnvHb2OopsVVchSZzc/hf_20260626_011853_69f318e1-52e4-4583-a29d-d5f12720e589.png,Redo as scripture-based
JT007,Hoodie,Unstoppable Hope,49.99,Romans 15:13,"Now the God of hope fill you with all joy and peace.","Hope Hoodie, Scripture",Scripture-based Color Pop,"Premium Color Pop Juneteenth hoodie. 'UNSTOPPABLE HOPE' with verse 'Now the God of hope fill you with all joy and peace' - Romans 15:13. Neon pop colors, paint textures, reds golds greens black, print-ready, transparent background, no mockup, no watermark.",https://d8j0ntlcm91z4.cloudfront.net/user_3E1AMf8iNHnvHb2OopsVVchSZzc/hf_20260626_020748_8a907c3c-d4b2-4a64-b2f4-aad342541a1a.png,Redo as scripture-based
JT008,Tee,Freedom Looks Good,29.99,2 Corinthians 3:17,"Where the Spirit of the Lord is, there is liberty.","Juneteenth Shirt, Scripture",Scripture-based Color Pop,"Premium Color Pop Juneteenth t-shirt. Streetwear 'FREEDOM LOOKS GOOD' with verse '...there is liberty' - 2 Corinthians 3:17. Vibrant gradients, reds golds greens black, print-ready 4500x5400, transparent background, no mockup, no watermark.",https://d8j0ntlcm91z4.cloudfront.net/user_3E1AMf8iNHnvHb2OopsVVchSZzc/hf_20260626_020749_fa9697b8-59c4-4fd2-a29b-53491901b2d6.png,Redo as scripture-based
JT009,Kids Tee,Shine Bright,24.99,Matthew 5:16,"Let your light so shine before men.","Kids Faith, Scripture",Scripture-based Color Pop,"Premium Color Pop Juneteenth kids t-shirt. 'SHINE BRIGHT' with verse 'Let your light so shine before men' - Matthew 5:16. Rainbow Color Pop, joyful, reds golds greens black, print-ready, transparent background, no mockup, no watermark.",https://d8j0ntlcm91z4.cloudfront.net/user_3E1AMf8iNHnvHb2OopsVVchSZzc/hf_20260626_020752_0d2c9eae-1a91-450b-90a5-9e6526236710.png,Redo as scripture-based
JT010,Mug,Freedom Every Day,17.99,Psalm 118:24,"This is the day which the LORD hath made.","Coffee Cup, Scripture",Scripture-based Color Pop,"Premium Color Pop Juneteenth mug wrap. 'FREEDOM EVERY DAY' with verse 'This is the day which the LORD hath made' - Psalm 118:24. Colorful wraparound, reds golds greens black, print-ready, transparent background, no mockup, no watermark.",https://d8j0ntlcm91z4.cloudfront.net/user_3E1AMf8iNHnvHb2OopsVVchSZzc/hf_20260626_020753_a00da3dc-a0ba-417d-b393-7c908aa70275.png,Redo as scripture-based
JT011,Tee,Legacy Lives On,29.99,Proverbs 13:22,"A good man leaveth an inheritance to his children's children.","Legacy, Scripture",Scripture-based Color Pop,"Premium Color Pop Juneteenth t-shirt. Brush lettering 'LEGACY LIVES ON' with verse 'A good man leaveth an inheritance to his children's children' - Proverbs 13:22. Gold highlights, reds greens black, print-ready 4500x5400, transparent background, no mockup, no watermark.",https://d8j0ntlcm91z4.cloudfront.net/user_3E1AMf8iNHnvHb2OopsVVchSZzc/hf_20260626_020802_85804fe8-f7c9-4d16-b991-03bd42f8106b.png,Redo as scripture-based
JT012,Hoodie,Rise Together,49.99,Ecclesiastes 4:9,"Two are better than one.","Unity Hoodie, Scripture",Scripture-based Color Pop,"Premium Color Pop Juneteenth hoodie. 'RISE TOGETHER' with verse 'Two are better than one' - Ecclesiastes 4:9. Dynamic paint splashes, reds golds greens black, print-ready, transparent background, no mockup, no watermark.",https://d8j0ntlcm91z4.cloudfront.net/user_3E1AMf8iNHnvHb2OopsVVchSZzc/hf_20260626_020804_95cb9ea0-ba52-4108-9396-2aa658c2cd8b.png,Redo as scripture-based
JT013,Tee,Freedom Journey,29.99,Isaiah 43:19,"Behold, I will do a new thing.","Freedom Journey, Scripture",Scripture-based Color Pop,"Premium Color Pop Juneteenth t-shirt. 'FREEDOM JOURNEY' with verse 'Behold, I will do a new thing' - Isaiah 43:19. Abstract road, hopeful sky, reds golds greens black, print-ready 4500x5400, transparent background, no mockup, no watermark.",https://d8j0ntlcm91z4.cloudfront.net/user_3E1AMf8iNHnvHb2OopsVVchSZzc/hf_20260626_020806_a6701657-c5a5-4e77-8c5f-d608db3e4fad.png,Redo as scripture-based
JT014,Kids Jumper,Future Builder,34.99,Jeremiah 29:11,"...thoughts of peace...to give you an expected end.","Kids Hoodie, Scripture",Scripture-based Color Pop,"Premium Color Pop Juneteenth toddler jumper. 'FUTURE BUILDER' with verse 'thoughts of peace, to give you an expected end' - Jeremiah 29:11. Comic-book Color Pop, reds golds greens black, print-ready, transparent background, no mockup, no watermark.",NEEDS_REGEN,Redo as scripture-based (v1 design ref expired)
JT015,Mug,Joy Comes Morning,17.99,Psalm 30:5,"Joy cometh in the morning.","Inspirational Cup, Scripture",Scripture-based Color Pop,"Premium Color Pop Juneteenth mug wrap. 'JOY COMES IN THE MORNING' with verse 'Joy cometh in the morning' - Psalm 30:5. Sunrise colors, floral accents, reds golds greens black, print-ready, transparent background, no mockup, no watermark.",https://d8j0ntlcm91z4.cloudfront.net/user_3E1AMf8iNHnvHb2OopsVVchSZzc/hf_20260626_020809_d56e0c77-dbbc-4591-ad4a-a87c845ab173.png,Redo as scripture-based
JT016,Tee,Strong. Brave. Free.,29.99,Galatians 5:1,"Stand fast in the liberty wherewith Christ hath made us free.","Empowerment, Scripture",Scripture-based Color Pop,"Premium Color Pop Juneteenth t-shirt. Stacked 'STRONG. BRAVE. FREE.' with verse 'Stand fast in the liberty wherewith Christ hath made us free' - Galatians 5:1. Vivid color blocks, reds golds greens black, print-ready 4500x5400, transparent background, no mockup, no watermark.",https://d8j0ntlcm91z4.cloudfront.net/user_3E1AMf8iNHnvHb2OopsVVchSZzc/hf_20260626_011854_cdbaa3ad-9460-41cf-9f41-f24005c85392.png,Redo as scripture-based
JT017,Hoodie,Together We Rise,49.99,Romans 12:5,"We, being many, are one body in Christ.","Unity, Scripture",Scripture-based Color Pop,"Premium Color Pop Juneteenth hoodie. 'TOGETHER WE RISE' with verse 'We, being many, are one body in Christ' - Romans 12:5. Geometric Color Pop, reds golds greens black, print-ready, transparent background, no mockup, no watermark.",https://d8j0ntlcm91z4.cloudfront.net/user_3E1AMf8iNHnvHb2OopsVVchSZzc/hf_20260626_020811_1876db57-e07a-47f9-92cc-2685141ac91b.png,Redo as scripture-based
JT018,Tee,Walking Forward,29.99,Philippians 3:14,"I press toward the mark.","Inspirational Tee, Scripture",Scripture-based Color Pop,"Premium Color Pop Juneteenth t-shirt. 'WALKING FORWARD' with verse 'I press toward the mark' - Philippians 3:14. Motion graphics, colorful footprints, reds golds greens black, print-ready 4500x5400, transparent background, no mockup, no watermark.",https://d8j0ntlcm91z4.cloudfront.net/user_3E1AMf8iNHnvHb2OopsVVchSZzc/hf_20260626_020813_8259329a-b420-4d24-bcc1-807b70be05dd.png,Redo as scripture-based
JT019,Kids Tee,Kind Hearts,24.99,Ephesians 4:32,"Be ye kind one to another.","Children, Scripture",Scripture-based Color Pop,"Premium Color Pop Juneteenth kids t-shirt. 'KIND HEARTS' with verse 'Be ye kind one to another' - Ephesians 4:32. Hearts and stars, reds golds greens black, print-ready, transparent background, no mockup, no watermark.",https://d8j0ntlcm91z4.cloudfront.net/user_3E1AMf8iNHnvHb2OopsVVchSZzc/hf_20260626_020814_6846bb79-02df-4fcb-aa95-237a68e996e8.png,Redo as scripture-based
JT020,Mug,Celebrate Freedom,17.99,Psalm 126:3,"The LORD hath done great things for us.","Freedom Coffee, Scripture",Scripture-based Color Pop,"Premium Color Pop Juneteenth mug wrap. 'CELEBRATE FREEDOM' with verse 'The LORD hath done great things for us' - Psalm 126:3. Confetti, elegant lettering, reds golds greens black, print-ready, transparent background, no mockup, no watermark.",https://d8j0ntlcm91z4.cloudfront.net/user_3E1AMf8iNHnvHb2OopsVVchSZzc/hf_20260626_020820_8dd70a0c-165a-4b40-9da9-44c284315dfe.png,Redo as scripture-based
JT021,Tee,Freedom Has a Voice,29.99,Psalm 107:2,"Let the redeemed of the LORD say so.","Celebration, Scripture",Scripture-based Color Pop,"Premium Color Pop Juneteenth t-shirt. 'FREEDOM HAS A VOICE' with verse 'Let the redeemed of the LORD say so' - Psalm 107:2. Loud Color Pop typography, reds golds greens black, print-ready 4500x5400, transparent background, no mockup, no watermark.",https://d8j0ntlcm91z4.cloudfront.net/user_3E1AMf8iNHnvHb2OopsVVchSZzc/hf_20260626_020822_6e92b4e1-78bf-4830-9ca2-75c7bb98ead7.png,Redo as scripture-based
JT022,Hoodie,History Gives Us Hope,49.99,Romans 15:4,"...through patience and comfort of the scriptures might have hope.","History, Scripture",Scripture-based Color Pop,"Premium Color Pop Juneteenth hoodie. 'HISTORY GIVES US HOPE' with verse '...might have hope' - Romans 15:4. Artistic collage, colorful textures, reds golds greens black, print-ready, transparent background, no mockup, no watermark.",https://d8j0ntlcm91z4.cloudfront.net/user_3E1AMf8iNHnvHb2OopsVVchSZzc/hf_20260626_020824_3d6705b1-e204-4c41-b660-9e0c127bac46.png,Redo as scripture-based
JT023,Tee,We Rise in Grace,29.99,Ephesians 2:8,"By grace are ye saved through faith.","Christian Apparel, Scripture",Scripture-based Color Pop,"Premium Color Pop Juneteenth t-shirt. Gold script 'WE RISE IN GRACE' with verse 'By grace are ye saved through faith' - Ephesians 2:8. Colorful background, reds greens black, print-ready 4500x5400, transparent background, no mockup, no watermark.",https://d8j0ntlcm91z4.cloudfront.net/user_3E1AMf8iNHnvHb2OopsVVchSZzc/hf_20260626_020826_08bfe8b1-66ac-4cdd-933a-f2179757eabc.png,Redo as scripture-based
JT024,Kids Jumper,Joyful Generation,34.99,Psalm 145:4,"One generation shall praise thy works to another.","Kids Clothing, Scripture",Scripture-based Color Pop,"Premium Color Pop Juneteenth toddler jumper. 'JOYFUL GENERATION' with verse 'One generation shall praise thy works to another' - Psalm 145:4. Smiling illustrations, stars, reds golds greens black, print-ready, transparent background, no mockup, no watermark.",https://d8j0ntlcm91z4.cloudfront.net/user_3E1AMf8iNHnvHb2OopsVVchSZzc/hf_20260626_020828_0da6af7c-c7d0-4996-8faf-bcefa43d6d0c.png,Redo as scripture-based
JT025,Mug,Hope Never Sleeps,17.99,Psalm 121:4,"He that keepeth thee will not slumber.","Faith Mug, Scripture",Scripture-based Color Pop,"Premium Color Pop Juneteenth mug wrap. 'HOPE NEVER SLEEPS' with verse 'He that keepeth thee will not slumber' - Psalm 121:4. Sunrise, joyful colors, reds golds greens black, print-ready, transparent background, no mockup, no watermark.",https://d8j0ntlcm91z4.cloudfront.net/user_3E1AMf8iNHnvHb2OopsVVchSZzc/hf_20260626_020829_18b1a101-b33a-408b-8e1d-02ed98cafd0a.png,Redo as scripture-based
JT026,Tee,Free Indeed (Freedom Faith Future),29.99,John 8:36,"So if the Son sets you free, you will be free indeed.","Juneteenth, Freedom, Faith, Future, Scripture",Scripture-based Color Pop (HERO reference),"Premium Color Pop Juneteenth t-shirt on black. Bold 'JUNETEENTH' headline with 'FREEDOM . FAITH . FUTURE'; regal Black woman with afro and small crown; side text 'FREE BY HISTORY, STRONG BY FAITH, LED BY GOD'; large scripture 'So if the Son sets you free, you will be free indeed' - John 8:36. Reds golds greens black, stars, paint swooshes, print-ready 4500x5400, transparent background, no mockup, no watermark.",USER_PROVIDED_DESIGN,New hero design provided by Loretta - this is the reference style for the whole scripture-based collection
